name,type1,type2,ability1,ability2,hp,attack,defense,special_attack,special_defense,speed
lucario,Fighting,Steel,ADAPTABILITY,NONE,70,110,70,115,70,90
ludicolo,Water,Grass,SWIFT_SWIM,RAIN_DISH,80,70,70,90,100,70
lugia,Psychic,Flying,PRESSURE,NONE,106,90,130,90,154,110
lumineon,Water,Water,CUTE_CHARM,STORM_DRAIN,69,69,76,69,86,91
lunatone,Rock,Psychic,LEVITATE,NONE,90,55,65,95,85,70
luvdisc,Water,Fairy,SWIFT_SWIM,NONE,45,40,55,65,65,97
luxio,Electric,Dark,RIVALRY,VITAL_SPIRIT,60,85,49,60,49,60
luxray,Electric,Dark,GUTS,INTIMIDATE,80,120,80,95,80,75
machamp,Fighting,Fighting,GUTS,NO_GUARD,90,130,80,65,85,55
machoke,Fighting,Fighting,GUTS,NO_GUARD,80,100,70,50,60,45
machop,Fighting,Fighting,GUTS,NO_GUARD,70,80,50,35,35,35
magby,Fire,Fire,FLAME_BODY,NONE,45,75,37,70,55,83
magcargo,Fire,Rock,SOLID_ROCK,FLAME_BODY,70,80,120,80,90,30
magikarp,Water,Water,SWIFT_SWIM,NONE,20,10,55,15,20,80
magmar,Fire,Fire,FLAME_BODY,NONE,65,95,57,100,85,93
magmortar,Fire,Fire,MEGA_LAUNCHER,NONE,75,95,67,125,95,83
magnemite,Electric,Steel,MAGNET_PULL,STURDY,25,35,70,95,55,45
magneton,Electric,Steel,MAGNET_PULL,STURDY,50,60,95,120,70,70
magnezone,Electric,Steel,MAGNET_PULL,STURDY,70,70,115,130,90,60
makuhita,Fighting,Fighting,THICK_FAT,GUTS,72,60,30,20,30,25
mamoswine,Ice,Ground,THICK_FAT,MOLD_BREAKER,110,130,80,70,60,80
manaphy,Water,Water,HYDRATION,NONE,100,100,100,100,100,100
manectric,Electric,Electric,STATIC,LIGHTNING_ROD,70,75,60,105,60,105
mankey,Fighting,Fighting,VITAL_SPIRIT,ANGER_POINT,40,80,35,35,45,70
mantine,Water,Flying,SWIFT_SWIM,WATER_VEIL,65,40,70,80,140,70
mantyke,Water,Flying,SWIFT_SWIM,WATER_VEIL,45,20,50,60,120,50
mareep,Electric,Electric,STATIC,STATIC,55,40,40,65,45,35
marill,Water,Fairy,THICK_FAT,HUGE_POWER,70,20,50,20,50,40
marowak,Ground,Ground,ROCK_HEAD,SKILL_LINK,60,105,110,50,80,75
marshtomp,Water,Ground,TORRENT,NONE,70,85,70,60,70,50
masquerain,Bug,Flying,INTIMIDATE,NONE,70,60,62,100,82,80
mawile,Steel,Fairy,HUGE_POWER,NONE,50,85,125,55,95,50
medicham,Fighting,Psychic,PURE_POWER,NONE,75,65,75,60,75,80
meditite,Fighting,Psychic,PURE_POWER,NONE,30,40,55,40,55,60
meganium,Grass,Fairy,THICK_FAT,NONE,80,80,100,95,100,80
meowth,Normal,Normal,SUPER_LUCK,TECHNICIAN,40,45,35,40,40,90
mesprit,Psychic,Psychic,LEVITATE,NONE,80,105,105,105,105,80
metagross,Steel,Psychic,CLEAR_BODY,NONE,80,135,130,95,90,70
metang,Steel,Psychic,CLEAR_BODY,NONE,60,75,100,55,80,50
metapod,Bug,Bug,SHED_SKIN,NONE,50,20,55,25,25,30
mew,Psychic,Psychic,SYNCHRONIZE,NONE,100,100,100,100,100,100
mewtwo,Psychic,Psychic,PRESSURE,NONE,106,110,90,154,90,130
mightyena,Dark,Dark,INTIMIDATE,QUICK_FEET,85,105,70,60,60,85
milotic,Water,Water,MARVEL_SCALE,NONE,95,60,79,100,125,81
miltank,Normal,Normal,THICK_FAT,SCRAPPY,100,80,105,40,80,100
mime_jr,Psychic,Fairy,TRACE,SYNCHRONIZE,20,25,45,70,90,60
minun,Electric,Electric,SHARPNESS,NONE,60,40,50,75,85,95
misdreavus,Ghost,Ghost,LEVITATE,NONE,60,60,60,85,85,85
mismagius,Ghost,Ghost,LEVITATE,NONE,70,70,70,115,105,110
moltres,Fire,Flying,EARLY_BIRD,NONE,90,100,90,125,85,90
monferno,Fire,Fighting,IRON_FIST,NONE,64,78,52,78,52,81
mothim,Bug,Flying,SWARM,TINTED_LENS,70,94,50,94,50,66
mr_mime,Psychic,Fairy,TRACE,SYNCHRONIZE,65,40,65,100,120,90
mudkip,Water,Water,TORRENT,NONE,50,70,50,50,50,40
muk,Poison,Ground,STICKY_HOLD,GLUTTONY,105,105,85,105,105,50
munchlax,Normal,Normal,THICK_FAT,NONE,135,85,40,40,85,5
murkrow,Dark,Flying,INSOMNIA,SUPER_LUCK,60,85,42,85,42,91
natu,Psychic,Flying,SYNCHRONIZE,EARLY_BIRD,40,50,45,70,45,70
nidoking,Poison,Ground,POISON_POINT,RIVALRY,85,95,80,85,75,85
nidoqueen,Poison,Ground,POISON_POINT,RIVALRY,90,85,90,75,85,80
nidoran_f,Poison,Poison,POISON_POINT,RIVALRY,55,47,52,40,40,41
nidoran_m,Poison,Poison,POISON_POINT,RIVALRY,46,57,40,40,40,50
nidorina,Poison,Poison,POISON_POINT,RIVALRY,70,62,67,55,55,56
nidorino,Poison,Poison,POISON_POINT,RIVALRY,61,72,57,55,55,65
nincada,Bug,Ground,COMPOUND_EYES,NONE,31,45,90,30,30,40
ninetales,Fire,Ghost,DROUGHT,NONE,75,75,75,85,100,100
ninjask,Bug,Flying,SPEED_BOOST,NONE,61,90,45,50,50,160
noctowl,Psychic,Flying,INSOMNIA,KEEN_EYE,100,50,60,95,100,85
none,Normal,Normal,NONE,NONE,0,0,0,0,0,0
nosepass,Rock,Rock,STURDY,MAGNET_PULL,30,45,135,45,90,30
numel,Fire,Ground,OBLIVIOUS,NONE,60,60,40,65,45,35
nuzleaf,Grass,Dark,CHLOROPHYLL,EARLY_BIRD,70,70,40,60,40,60
octillery,Water,Water,SUCTION_CUPS,SNIPER,75,105,75,105,75,45
oddish,Grass,Poison,EFFECT_SPORE,EFFECT_SPORE,45,50,55,75,65,30
omanyte,Rock,Water,SHELL_ARMOR,SHELL_ARMOR,35,40,100,90,55,35
omastar,Rock,Water,SKILL_LINK,SHELL_ARMOR,70,60,125,115,70,55
onix,Rock,Ground,ROCK_HEAD,STURDY,35,45,160,30,45,70
pachirisu,Electric,Electric,VITAL_SPIRIT,UNAWARE,60,45,70,45,90,95
palkia,Water,Dragon,PRESSURE,NONE,90,120,100,150,120,100
paras,Bug,Grass,EFFECT_SPORE,DRY_SKIN,35,70,55,45,55,25
parasect,Bug,Grass,EFFECT_SPORE,DRY_SKIN,80,95,80,60,80,30
pelipper,Water,Flying,DRIZZLE,NONE,60,50,100,95,70,65
persian,Normal,Normal,SUPER_LUCK,TECHNICIAN,65,85,60,65,65,115
phanpy,Ground,Ground,SIMPLE,SIMPLE,90,60,60,40,40,40
phione,Water,Water,HYDRATION,NONE,80,80,80,80,80,80
pichu,Electric,Electric,STATIC,NONE,20,40,15,35,35,60
pidgeot,Normal,Flying,NO_GUARD,NONE,83,80,75,101,70,101
pidgeotto,Normal,Flying,KEEN_EYE,NONE,63,60,55,50,50,71
pidgey,Normal,Flying,KEEN_EYE,NONE,40,45,40,35,35,56
pikachu,Electric,Electric,STATIC,NONE,35,55,30,50,40,90
piloswine,Ice,Ground,THICK_FAT,MOLD_BREAKER,100,100,80,60,60,50
pineco,Bug,Bug,STURDY,NONE,50,65,90,35,35,15
pinsir,Bug,Bug,MOLD_BREAKER,NONE,70,130,100,55,70,85
piplup,Water,Water,TORRENT,NONE,53,51,53,61,56,40
plusle,Electric,Electric,STRONG_JAW,NONE,60,50,40,85,75,95
politoed,Water,Water,DRIZZLE,NONE,90,75,75,90,100,70
poliwag,Water,Water,STORM_DRAIN,DAMP,40,50,40,40,40,90
poliwhirl,Water,Water,STORM_DRAIN,DAMP,65,65,65,50,50,90
poliwrath,Water,Fighting,STORM_DRAIN,DAMP,90,85,95,70,90,70
ponyta,Fire,Fire,RUN_AWAY,RUN_AWAY,50,85,55,65,65,90
poochyena,Dark,Dark,RUN_AWAY,QUICK_FEET,35,55,35,30,30,35
porygon,Normal,Normal,DOWNLOAD,NONE,65,60,70,85,75,40
porygon2,Normal,Normal,DOWNLOAD,NONE,85,80,90,105,95,60
porygon_z,Normal,Normal,DOWNLOAD,NONE,85,80,70,135,75,90
primeape,Fighting,Fighting,VITAL_SPIRIT,ANGER_POINT,65,105,60,60,70,95
prinplup,Water,Water,TORRENT,NONE,64,66,68,81,76,50
probopass,Rock,Steel,LEVITATE,LEVITATE,60,55,145,75,150,40
psyduck,Water,Psychic,CLOUD_NINE,NONE,50,52,48,65,50,55
pupitar,Rock,Ground,SHED_SKIN,NONE,70,84,70,65,70,51
purugly,Normal,Normal,THICK_FAT,OWN_TEMPO,90,90,70,70,60,110
quagsire,Water,Ground,DAMP,WATER_ABSORB,95,85,85,65,65,35
quilava,Fire,Fire,ADAPTABILITY,NONE,58,64,58,80,65,80
qwilfish,Water,Poison,POISON_POINT,ROUGH_SKIN,75,95,95,55,65,85
raichu,Electric,Electric,STATIC,NONE,60,90,55,90,80,110
raikou,Electric,Electric,VOLT_ABSORB,NONE,90,85,75,115,100,115
ralts,Psychic,Fairy,SYNCHRONIZE,TRACE,28,25,25,45,35,40
rampardos,Rock,Rock,MOLD_BREAKER,ROCK_HEAD,105,165,60,60,50,55
